text,label
"Описание: Персонажа душат, и он пытается вырваться.",3
Сцена: Друзья смотрят комедию и смеются.,0
Воспоминания: Подросток толкает одноклассника в коридоре.,2
Диалог: Покупатель недоволен обслуживанием и жалуется сотруднику.,1
Воспоминания: Мужчина резко отталкивает злоумышленника.,2
"Воспоминания: Дети спорят, кто будет первым в очереди.",1
Описание: Соседи ругаются из-за громкой музыки.,1
Описание: Герой даёт оппоненту пощёчину.,2
Описание: Мужчина хватает оппонента за воротник.,2
Сцена: Тело после пыток покрыто глубокими ранами и кровью.,4
Воспоминания: Убийца проламывает череп тяжёлой трубой.,4
"Сцена: Жертву пытают, нанося глубокие порезы и оставляя её истекать кровью.",4
Эпизод: Герой пинает дверь в ярости.,2
Диалог: Девушка резко отвечает на критику знакомой.,1
Воспоминания: Два друга выбирают настольную игру.,0
Воспоминания: Группа людей разговаривает в кафе.,0
Воспоминания: Женщина резко отвечает на вопрос собеседника.,1
Диалог: Пассажиры ждут автобус на остановке.,0
Диалог: Путешественники фотографируются у достопримечательности.,0
Воспоминания: Преступник держит нож у горла жертвы.,3
"Сцена: Человек получает ножевое ранение, кровь течёт по одежде.",3
"Диалог: Персонажа душат, и он пытается вырваться.",3
Диалог: Пара кормит птиц на набережной.,0
Сцена: Учитель спокойно объясняет новую тему.,0
Описание: Жертву избивают цепью до потери кожи.,4
Описание: Пассажиры ждут автобус на остановке.,0
"Описание: Жертву хватают и удерживают, закрыв рот.",3
Воспоминания: Пара выбирает цветы на рынке.,0
Диалог: Расчленённое тело лежит на полу с натуралистичными деталями.,4
Диалог: Мужчина резко отталкивает злоумышленника.,2
Описание: Персонаж получает синяк в результате потасовки.,2
Описание: Тело после пыток покрыто глубокими ранами и кровью.,4
Сцена: Коллеги обсуждают проект в непринужденной атмосфере.,0
Диалог: Покупатель грубо требует вернуть деньги.,1
Описание: Сотрудники офиса проводят планерку без каких-либо споров.,0
Воспоминания: Огнестрельное ранение в голову описано с деталями.,4
Сцена: Огнестрельное ранение в грудь описано подробно.,4
Описание: Спортсмены дерутся после матча.,2
Сцена: Огнестрельное ранение в грудь описано подробно.,4
Воспоминания: Один подросток резко хватает другого за одежду.,2
"Воспоминания: Жертву хватают и удерживают, закрыв рот.",3
Эпизод: Коллеги ругаются из-за пропавших документов.,1
Сцена: Девочка читает книгу в тихой библиотеке.,0
Эпизод: На улице происходит короткая драка.,2
Воспоминания: Огнестрельное ранение в голову описано с деталями.,4
"Воспоминания: Человек получает ножевое ранение, кровь течёт по одежде.",3
Описание: Убийца проламывает череп тяжёлой трубой.,4
Описание: Туристы слушают экскурсовода.,0
Диалог: Жертву подвешивают и избивают до потери сознания.,4
Описание: Палач выбивает зубы металлическим молотком.,4
Воспоминания: Подростка жестоко избивают старшие хулиганы.,3
Описание: Женщина резко отвечает на вопрос собеседника.,1
Диалог: Учитель спокойно объясняет новую тему.,0
Диалог: Группа людей разговаривает в кафе.,0
Диалог: Человек угрожает выстрелить в другого.,3
"Воспоминания: Двое подростков громко выясняют отношения, но без угроз.",1
Сцена: Коллеги горячо обсуждают распределение задач.,1
Воспоминания: Школьники рисуют на уроке труда.,0
Сцена: Герой пинает дверь в ярости.,2
"Диалог: Мужчина избивает противника, нанося множественные удары.",3
Сцена: Игроки ругаются из-за проигрыша в настолке.,1
Описание: Молодёжь играет в волейбол на пляже.,0
Воспоминания: Девушка резко отвечает на критику знакомой.,1
Описание: Преступник толкает жертву под машину.,3
Описание: Жертву избивают цепью до потери кожи.,4
Описание: Школьники рисуют на уроке труда.,0
Воспоминания: Студенты репетируют сцену для спектакля.,0
"Воспоминания: Подросток замахивается, но его останавливают.",2
Диалог: Девочка читает книгу в тихой библиотеке.,0
Эпизод: Один ученик толкает другого в столовую.,2
Воспоминания: Два друга выбирают настольную игру.,0
Описание: Девочка читает книгу в тихой библиотеке.,0
Диалог: Учитель делает строгий выговор ученику.,1
Сцена: В ходе конфликта один человек замахивается кулаком.,2
Описание: Расчленённое тело лежит на полу с натуралистичными деталями.,4
"Эпизод: Человек получает сильный удар по лицу, падает на землю.",3
Сцена: Работник толкает коллегу после ссоры.,2
Диалог: Спортсмены дерутся после матча.,2
Сцена: Преступник толкает жертву под машину.,3
Описание: Коллеги обсуждают проект в непринужденной атмосфере.,0
Описание: Персонаж выбивает зуб оппоненту.,3
Сцена: Двое друзей громко спорят о планах на вечер.,1
Диалог: Мужчина резко отталкивает злоумышленника.,2
Воспоминания: Женщина резко отвечает на вопрос собеседника.,1
Эпизод: Подросток возмущается плохой оценкой.,1
"Сцена: Героя бьют ногами, когда он лежит на земле.",3
Воспоминания: Преступник наносит удар металлическим прутом.,3
Диалог: Герой ломает злоумышленнику руку.,3
"Диалог: Персонажу отрубают палец, описаны физиологические подробности.",4
Воспоминания: Туристы слушают экскурсовода.,0
"Сцена: Человек получает множественные огнестрельные ранения, кровь течёт струями.",4
Сцена: Герой пинает дверь в ярости.,2
Воспоминания: Ребёнок плачет после резкого замечания.,1
Воспоминания: Соседи мирно беседуют на лавочке у подъезда.,0
Описание: Сотрудники спорят о распределении смен.,1
Описание: Спортсмен получает сильный удар на тренировке.,2
Сцена: Охранник скручивает нарушителя и удерживает его на полу.,2
Сцена: Пассажир недовольно разговаривает с водителем автобуса.,1
Сцена: Двое друзей поссорились из-за недоразумения.,1
Воспоминания: Огнестрельное ранение в голову описано с деталями.,4
Описание: Сцена каннибализма описана графически.,4
Сцена: Студенты работают над групповой презентацией.,0
Сцена: Один ученик толкает другого в столовую.,2
Описание: Родители помогают ребёнку решить задачу по математике.,0
Воспоминания: Огнестрельное ранение в голову описано с деталями.,4
Описание: Персонаж получает синяк в результате потасовки.,2
Воспоминания: Пара обсуждает бытовые проблемы повышенным тоном.,1
Диалог: Преступник толкает жертву под машину.,3
"Эпизод: Жертву медленно режут по коже, пытая её.",4
Диалог: Ребёнок плачет после резкого замечания.,1
"Диалог: Палач разрезает живот, внутренности выпадают наружу.",4
"Диалог: Жертву душат пакетом, описана борьба за воздух.",4
Описание: Соседи обсуждают проблему парковки с раздражением.,1
"Сцена: Подросток замахивается, но его останавливают.",2
Эпизод: Учитель делает строгий выговор ученику.,1
"Описание: Персонажа пинают в живот, и он падает.",3
Воспоминания: Двое мужчин сцепились в короткой драке.,2
"Воспоминания: Полиция фиксирует нарушителя, применив силу.",2
Воспоминания: Огнестрельное ранение в голову описано с деталями.,4
"Сцена: Голову жертвы разбивают тяжёлым предметом, кости хрустят.",4
Воспоминания: Двое друзей поссорились из-за недоразумения.,1
"Описание: Группа друзей спорит о том, куда идти.",1
Диалог: Родитель делает ребёнку строгое замечание.,1
Сцена: Спортсмен получает сильный удар на тренировке.,2
Эпизод: Ребёнок плачет после резкого замечания.,1
Описание: Один подросток резко хватает другого за одежду.,2
Воспоминания: Подростка жестоко избивают старшие хулиганы.,3
"Воспоминания: Жертве наносят удары ножом в живот, описано истекание кровью.",4
Эпизод: Преступник толкает жертву под машину.,3
Сцена: Туристы слушают экскурсовода.,0
