text,label
Описание: Герой курит марихуану в квартире.,3
"Эпизод: В книге упоминается застолье, но без описания употребления.",1
Сцена: Герои пьют слабый алкоголь на пикнике.,2
Сцена: Семья устраивает вечер настольных игр.,0
Сцена: Пара пьёт молочный коктейль на свидании.,0
Описание: Женщина пьёт свежевыжатый сок в кафе.,0
Эпизод: Друзья отдыхают на лавочке с бутылками минералки.,0
Диалог: Мужчина делает пару затяжек сигаретой.,2
Воспоминания: Персонаж выпивает один бокал и успокаивается.,2
Диалог: Учёный объясняет механизм зависимости.,1
Воспоминания: Путешественники пьют воду из бутылок во время похода.,0
Воспоминания: Герой стоит с бутылкой водки прямо на улице.,3
Описание: Учитель рассказывает детям о вреде курения.,1
Сцена: Герои пьют слабый алкоголь на пикнике.,2
Сцена: Персонаж покупает бутылку вина в магазине.,2
Описание: Учитель рассказывает детям о вреде курения.,1
Эпизод: Компания подростков смешивает разные напитки.,3
"Диалог: Герои сидят в кафе, где кто-то курит рядом.",2
Сцена: Пьяная компания устраивает скандал в баре.,3
Описание: Герой вводит себе наркотик в тёмном подъезде.,4
Воспоминания: Герой курит смесь с сильным галлюциногенным эффектом.,4
Воспоминания: Персонаж в состоянии сильного опьянения падает на пол.,3
Диалог: Студенты пьют энергетики во время подготовки к экзаменам.,0
Описание: Учитель рассказывает детям о вреде курения.,1
Сцена: Мужчина пьёт горячий чай на рабочем месте.,0
Описание: Друзья сидят в кино с напитками без сахара.,0
Воспоминания: Друзья пьют лимонад на пикнике в парке.,0
Эпизод: Герои поднимают бокалы на празднике.,2
"Воспоминания: Пара сидит в баре, пьют лёгкие напитки.",2
Диалог: Подростки покупают морс в супермаркете.,0
Описание: Персонаж прикуривает сигарету от зажигалки.,2
Сцена: Персонаж покупает бутылку вина в магазине.,2
Сцена: Мужчина напивается до потери контроля.,3
Эпизод: Друзья сидят в кино с напитками без сахара.,0
"Воспоминания: Пара обсуждает, что не пьёт алкоголь.",1
Сцена: В новостях рассказывают о борьбе с наркотиками.,1
Сцена: Дети пьют сок после тренировки по футболу.,0
Диалог: В новостях рассказывают о борьбе с наркотиками.,1
"Воспоминания: Мужчина нюхает кокаин с поверхности стола, описаны ощущения и реакция.",4
Описание: Компания отмечает праздник с алкоголем без излишеств.,2
Диалог: Герои обсуждают разные сорта алкоголя.,2
Сцена: В документальном фильме кратко упоминают наркотики.,1
Воспоминания: Персонаж принимает сильнодействующие препараты и теряет контроль.,4
"Эпизод: Персонаж вводит наркотик внутривенно, описаны боль и состояние.",4
"Воспоминания: Герой рассказывает, как бросил курить.",1
"Эпизод: Персонаж вводит наркотик внутривенно, описаны боль и состояние.",4
Эпизод: Пьяный мужчина громко ругается на улице.,3
Диалог: Компания друзей делит бутылку вина.,2
Эпизод: Друзья пьют лимонад на пикнике в парке.,0
Сцена: Герой разливает наркотический раствор и вдыхает его пары.,4
Эпизод: Персонаж закуривает после стресса.,2
Сцена: Герой курит марихуану в квартире.,3
Воспоминания: Персонаж прикуривает сигарету от зажигалки.,2
Эпизод: Подростки обсуждают тему вреда алкоголя.,1
Диалог: Ученики на перемене обсуждают домашнее задание.,0
Диалог: Взрослые обсуждают вкус вина за семейным ужином.,1
Воспоминания: Персонажи обсуждают традиции употребления алкоголя в культуре.,1
"Сцена: Пара нюхает кокаин, описано, как порошок исчезает.",4
Диалог: Мужчина курит в специально отведённой зоне.,2
Описание: Семья покупает кефир и йогурты.,0
Сцена: Персонаж пьёт из горла крепкий алкоголь.,3
"Описание: Герой смешивает алкоголь с таблетками, теряя сознание.",4
"Эпизод: Герои стоят на улице, кто-то курит рядом.",2
Эпизод: Пьяная компания шумит и кричит возле дома.,3
Сцена: Персонаж в состоянии сильного опьянения падает на пол.,3
"Диалог: Герои сидят в кафе, где кто-то курит рядом.",2
"Воспоминания: Герои говорят о том, что алкоголь вреден для здоровья.",1
Описание: Герой курит смесь с сильным галлюциногенным эффектом.,4
"Воспоминания: Герой курит крэк, его руки дрожат.",4
Воспоминания: Дети пьют сок после тренировки по футболу.,0
Сцена: Ученики слушают лекцию о вредных привычках.,1
"Эпизод: Пара обсуждает, какое вино подойдёт к ужину.",2
Диалог: Персонаж делает затяжку и резко кашляет от наркотика.,3
Сцена: Мужчина открывает вторую бутылку водки.,3
Сцена: Мужчина вводит себе двойную дозу героина.,4
Описание: Компания подростков курит в заброшенном доме.,3
Эпизод: Учитель рассказывает детям о вреде курения.,1
Эпизод: Люди говорят о правилах употребления спиртного за границей.,1
Сцена: Студенты слушают доклад о вреде табака.,1
Описание: Персонаж несёт пакет с бутылками напитков.,2
Воспоминания: Персонаж переживает тяжёлую передозировку.,4
Описание: Герой курит марихуану в квартире.,3
Диалог: Подростки обсуждают тему вреда алкоголя.,1
Эпизод: Мужчина выпивает бутылку крепкого алкоголя за вечер.,3
Эпизод: Друзья сидят в кино с напитками без сахара.,0
Описание: Семья устраивает вечер настольных игр.,0
Воспоминания: Подростки покупают морс в супермаркете.,0
Сцена: Персонаж выпивает шот за шотом.,3
Эпизод: Герой стоит с бутылкой водки прямо на улице.,3
Воспоминания: Персонажи обсуждают традиции употребления алкоголя в культуре.,1
Эпизод: Пара пьёт шампанское на свидании.,2
"Воспоминания: Герой принимает наркотики, описаны его судороги.",4
Эпизод: Компания подростков пробует курительные смеси.,3
Эпизод: Герои готовят коктейли дома.,2
Воспоминания: Персонаж пьёт из горла крепкий алкоголь.,3
Сцена: Студенты пьют пиво после лекций.,2
Сцена: Пара пьёт шампанское на свидании.,2
Описание: Персонаж закуривает после стресса.,2
Диалог: Герои готовят коктейли дома.,2
"Эпизод: Герои говорят о том, что алкоголь вреден для здоровья.",1
"Диалог: Герой рассказывает, как бросил курить.",1
Сцена: Персонаж курит сигарету возле подъезда.,2
Диалог: Семья готовит обед вместе на кухне.,0
Эпизод: Мужчина делает пару затяжек сигаретой.,2
Воспоминания: Сотрудники пьют компот в столовой.,0
Воспоминания: Пьяная компания шумит и кричит возле дома.,3
"Сцена: Герои стоят на улице, кто-то курит рядом.",2
Воспоминания: Учёный объясняет механизм зависимости.,1
Воспоминания: Друзья сидят в кино с напитками без сахара.,0
Эпизод: Люди говорят о правилах употребления спиртного за границей.,1
Сцена: Мужчина курит в специально отведённой зоне.,2
"Эпизод: Подростки замечают мужчину, который курит на остановке.",2
"Сцена: Герои стоят на улице, кто-то курит рядом.",2
Описание: Друзья пьют лимонад на пикнике в парке.,0
"Воспоминания: Пара обсуждает, какое вино подойдёт к ужину.",2
Описание: Гости пьют компот на дне рождения.,0
Диалог: Персонаж переживает тяжёлую передозировку.,4
"Диалог: Персонаж вспоминает, что кто-то курил в прошлом.",1
Сцена: Герой употребляет алкоголь перед важным событием.,3
Диалог: Ученики слушают лекцию о вредных привычках.,1
Воспоминания: Семья пьёт какао перед сном.,0
Описание: Люди в библиотеке пьют кофе из автоматов.,0
Воспоминания: Персонаж курит наркотик из самодельной трубки.,3
Воспоминания: Мужчина курит в специально отведённой зоне.,2
Эпизод: Студенты слушают доклад о вреде табака.,1
Диалог: Герой делает лёгкую затяжку сигаретой.,2
Воспоминания: Персонаж вводит вторую дозу сразу после первой.,4
Описание: Персонаж пьёт из горла крепкий алкоголь.,3
Диалог: Персонаж курит сигарету возле подъезда.,2
Диалог: Герой вводит себе наркотик в вену на руке.,4
Диалог: Персонаж нюхает дорожку амфетамина прямо с телефона.,4
Описание: Персонаж нюхает дорожку амфетамина прямо с телефона.,4
Описание: Учёный объясняет механизм зависимости.,1
Диалог: Компания подростков курит в заброшенном доме.,3
Эпизод: Персонаж курит кальян с запрещёнными смесями.,3
Эпизод: Герой делит наркотик на порции лезвием.,4
"Сцена: Герой нюхает порошок, описано жжение в носу.",4
Описание: Компания отмечает праздник с алкоголем без излишеств.,2
Описание: Герой вводит себе наркотик в вену на руке.,4
Диалог: Персонаж выпивает шот за шотом.,3
Диалог: Герой разогревает наркотик в ложке над огнём.,4
"Воспоминания: Подростки замечают мужчину, который курит на остановке.",2
"Сцена: Персонаж вводит себе дозу героина, подробно описан процесс приготовления и инъекции.",4
"Воспоминания: Персонаж принимает тяжёлые наркотики, теряя ориентацию и контроль.",4
Эпизод: Студенты греются горячим чаем зимой.,0
"Диалог: Персонаж вспоминает, что кто-то курил в прошлом.",1
Эпизод: Друзья отдыхают на лавочке с бутылками минералки.,0
Воспоминания: Персонаж несёт пакет с бутылками напитков.,2
Описание: Герой смеётся и ведёт себя неадекватно из-за алкоголя.,3
Описание: Герои берут безалкогольные напитки в дорогу.,0
Воспоминания: Ученики на перемене обсуждают домашнее задание.,0
Сцена: Путешественники берут термосы с чаем.,0
"Описание: Персонаж варит амфетамин на кухне, подробно описан процесс.",4
Диалог: В новостях рассказывают о борьбе с наркотиками.,1
"Воспоминания: Пара обсуждает, что не пьёт алкоголь.",1
Описание: Персонаж закуривает после стресса.,2
Диалог: Герой делит наркотик на порции лезвием.,4
"Описание: Герой принимает наркотики, описаны его судороги.",4
Диалог: Персонаж нюхает дорожку амфетамина прямо с телефона.,4
Диалог: Персонаж делает несколько глубоких затяжек наркотиком.,3
Эпизод: Мужчина выпивает бутылку крепкого алкоголя за вечер.,3
Эпизод: Герой засыпает в состоянии сильного опьянения.,3
Воспоминания: Люди говорят о правилах употребления спиртного за границей.,1
Воспоминания: Герой делит наркотик на порции лезвием.,4
Эпизод: Персонаж делает затяжку и резко кашляет от наркотика.,3
Описание: Персонаж делает несколько глубоких затяжек наркотиком.,3
"Сцена: Персонаж варит амфетамин на кухне, подробно описан процесс.",4
"Воспоминания: Мужчина нюхает кокаин с поверхности стола, описаны ощущения и реакция.",4
"Сцена: Персонаж использует шприц с кровью, описаны детали.",4
Сцена: Герой пьёт алкоголь прямо на рабочем месте.,3
Эпизод: Герои готовят коктейли дома.,2
Эпизод: Подростки обсуждают тему вреда алкоголя.,1
"Воспоминания: Подростки замечают мужчину, который курит на остановке.",2
Воспоминания: Путешественники берут термосы с чаем.,0
Описание: Учитель рассказывает детям о вреде курения.,1
Эпизод: Семья пьёт какао перед сном.,0
Эпизод: Пара пьёт шампанское на свидании.,2
Диалог: Учитель предлагает ученикам чай на кружке.,0
Сцена: Взрослые обсуждают вкус вина за семейным ужином.,1
Описание: Дети пьют сок после тренировки по футболу.,0
Диалог: Герой разливает наркотический раствор и вдыхает его пары.,4
Описание: Женщина пьёт свежевыжатый сок в кафе.,0
"Описание: Герой смешивает алкоголь с таблетками, теряя сознание.",4
"Сцена: Персонаж принимает экстази, описано изменение его состояния.",4
Эпизод: Подростки обсуждают тему вреда алкоголя.,1
"Эпизод: Герой идёт домой, сильно шатаясь.",3
Сцена: Персонаж принимает ЛСД и сталкивается с галлюцинациями.,4
Описание: Пара пробует сидр на пикнике.,2
"Диалог: Герои стоят на улице, кто-то курит рядом.",2
Диалог: Герои обсуждают разные сорта алкоголя.,2
"Сцена: Персонаж вводит наркотик внутривенно, описаны боль и состояние.",4
Сцена: В новостях рассказывают о борьбе с наркотиками.,1
Сцена: Сотрудники пьют компот в столовой.,0
"Эпизод: Персонаж принимает экстази, описано изменение его состояния.",4
"Описание: Пара обсуждает, что не пьёт алкоголь.",1
Сцена: Дети пьют какао на празднике.,0
"Сцена: Подростки замечают мужчину, который курит на остановке.",2
Описание: Персонаж падает на пол в состоянии сильной передозировки.,4
"Эпизод: Герой рассказывает, как бросил курить.",1
Воспоминания: Учёный объясняет механизм зависимости.,1
Сцена: Герой принимает наркотики в опасных дозах.,4
Описание: Персонаж делает затяжку и резко кашляет от наркотика.,3
"Воспоминания: Герои говорят о том, что алкоголь вреден для здоровья.",1
Диалог: В документальном фильме кратко упоминают наркотики.,1
Описание: Семья завтракает с соком и омлетом.,0
Воспоминания: Мужчина курит наркотические смеси в подъезде.,3
Воспоминания: Герои пьют бокал вина за ужином.,2
Эпизод: Герои слушают лекцию о профилактике наркомании.,1
Сцена: Персонаж курит кальян с запрещёнными смесями.,3
Диалог: Мужчина открывает вторую бутылку водки.,3
Описание: Мужчина сидит на балконе с бутылкой пива.,2
Воспоминания: Персонаж нарушает правила поведения под алкоголем.,3
Эпизод: Мужчина курит наркотические смеси в подъезде.,3
Эпизод: Студенты пьют пиво после лекций.,2
Диалог: Коллеги пьют кофе перед началом совещания.,0
Воспоминания: Коллеги пьют кофе перед началом совещания.,0
Воспоминания: Герой смеётся и ведёт себя неадекватно из-за алкоголя.,3
Сцена: Персонаж выпивает шот за шотом.,3
Эпизод: Студенты слушают доклад о вреде табака.,1
Эпизод: Врач объясняет пациенту действие лекарственных препаратов.,1
Воспоминания: Сотрудники пьют компот в столовой.,0
Воспоминания: Учёный объясняет механизм зависимости.,1
Диалог: Взрослые обсуждают вкус вина за семейным ужином.,1
Сцена: Врач объясняет пациенту действие лекарственных препаратов.,1
Воспоминания: Учёный объясняет механизм зависимости.,1
Сцена: Герои пьют слабый алкоголь на пикнике.,2
Эпизод: Студенты пьют пиво после лекций.,2
"Диалог: Подростки замечают мужчину, который курит на остановке.",2
Воспоминания: Семья пьёт чай с пирогом за кухонным столом.,0
Сцена: Путешественники берут термосы с чаем.,0
Диалог: Люди в аэропорту пьют кофе перед вылетом.,0
Описание: Друзья покупают смузи в уличной лавке.,0
Описание: Пара пьёт шампанское на свидании.,2
"Воспоминания: Пара сидит в баре, пьют лёгкие напитки.",2
"Эпизод: Герои говорят о том, что алкоголь вреден для здоровья.",1
Описание: Герой употребляет алкоголь перед важным событием.,3
Воспоминания: Герой курит смесь с сильным галлюциногенным эффектом.,4
"Диалог: Герой принимает наркотики, описаны его судороги.",4
"Воспоминания: Подростки прячутся, чтобы покурить наркотики.",3
Диалог: Герой употребляет алкоголь перед важным событием.,3
Описание: Персонаж курит электронную сигарету.,2
Эпизод: Учитель рассказывает детям о вреде курения.,1
Диалог: Студенты слушают доклад о вреде табака.,1
Воспоминания: Пьяная компания устраивает скандал в баре.,3
"Диалог: Подростки замечают мужчину, который курит на остановке.",2
Описание: Взрослые обсуждают вкус вина за семейным ужином.,1
Диалог: Персонаж курит сигарету возле подъезда.,2
Эпизод: Семья пьёт какао перед сном.,0
Воспоминания: Персонаж вводит себе дозу наркотика в шею.,4
"Описание: Мужчина нюхает кокаин с поверхности стола, описаны ощущения и реакция.",4
Эпизод: Герои пьют чай на веранде загородного дома.,0
Воспоминания: Компания отмечает праздник с алкоголем без излишеств.,2
Воспоминания: Ученики на перемене обсуждают домашнее задание.,0
"Сцена: Студенты обсуждают, какое пиво выбрать.",2
"Диалог: Соседи пьют чай, сидя на лавочке у подъезда.",0
Диалог: Семья покупает кефир и йогурты.,0
Воспоминания: Персонаж пьёт из горла крепкий алкоголь.,3
Воспоминания: Герои обсуждают разные сорта алкоголя.,2
Эпизод: Люди в аэропорту пьют кофе перед вылетом.,0
Сцена: Учёный объясняет механизм зависимости.,1
Эпизод: Герой принимает наркотики в опасных дозах.,4
Диалог: Мужчина сидит на балконе с бутылкой пива.,2
Воспоминания: В документальном фильме кратко упоминают наркотики.,1
Описание: Друзья покупают смузи в уличной лавке.,0
Воспоминания: Герой стоит с бутылкой водки прямо на улице.,3
"Воспоминания: Персонаж вводит наркотик внутривенно, описаны боль и состояние.",4
"Описание: Персонаж вспоминает, что кто-то курил в прошлом.",1
Диалог: Дети пьют какао на празднике.,0
Сцена: Учитель предлагает ученикам чай на кружке.,0
Воспоминания: Люди в библиотеке пьют кофе из автоматов.,0
Диалог: Путешественники пьют воду из бутылок во время похода.,0
Эпизод: Люди в аэропорту пьют кофе перед вылетом.,0
Воспоминания: Учитель рассказывает детям о вреде курения.,1
Сцена: Ученики слушают лекцию о вредных привычках.,1
Описание: Герой засыпает в состоянии сильного опьянения.,3
Диалог: Компания расслабляется за бокалом вина.,2
