text,label
Описание: Ты просто невыносим.,3
Описание: Ты специально такой?,2
"Описание: Эх, промахнулся",1
В тексте: Друзья договариваются о совместной поездке на природу.,0
Описание: Съебись нахуй и не возвращайся.,4
В тексте: Студенты спокойно ждут начала лекции.,0
"В тексте: Да пиздуй уже, заебал всех.",4
"В тексте: Проклятье, эти документы снова потерялись.",1
Диалог: Писатель дает интервью о своей новой книге.,0
Описание: Родители помогают ребенку собрать портфель в школу.,0
"Описание: Съеби отсюда, пока цел.",4
"Разговор: Ты ебаный кретин, честно.",4
"Диалог: Ой, ё-моё, кто-то уже занял место.",1
"Описание: Сука, закрой рот, заебал.",4
"Разговор: Заткнись нахуй, пока прошу нормально.",4
Сцена: Ты окончательно достал всех.,3
"В тексте: Блин, почему всё так сложно?",1
Сцена: Волонтёры обсуждают план мероприятия.,0
"Разговор: Чёрт, дождь пошёл в самый неподходящий момент.",1
Разговор: Ты реально дурак?,2
Описание: Путешественники задают вопросы гиду о достопримечательностях.,0
Сцена: Ты охуел? Реально охуел?,4
Описание: Ты реально дурак?,2
Описание: Ты вообще слушаешь?,2
"Диалог: Ох, ну и денёк сегодня.",1
"Сцена: Ой, чёрт, потерял документы.",1
Описание: Ты окончательно достал всех.,3
Сцена: Иди нахуй со своей хернёй.,4
"В тексте: Хватит нести ерунду, честное слово.",3
Разговор: Ты идиот?,2
"Описание: Чёрт возьми, интернет опять сломался.",1
Диалог: Ты реально ебанутый?,4
"Сцена: Чё ты доёбываешься, ебанат?",4
В тексте: Девочка желает всем удачного дня в школе.,0
"Разговор: Чёрт, забыл выключить плиту.",1
"Разговор: Блин, как же это неудобно.",1
"Диалог: Блин, не успел на урок.",1
"Разговор: Отъебись от меня, понял?",4
Сцена: Ты окончательно достал всех.,3
Описание: Ты идиот?,2
Разговор: Работники офиса обсуждают задачи без конфликта.,0
"Разговор: Ох, ну и денёк сегодня.",1
Описание: Ты ведёшь себя как шут.,3
Сцена: Ты мне мозги выносить пришёл?,2
"Разговор: Ты вообще понимаешь, что творишь, придурок?",3
"Диалог: Блин, ключи потерял.",1
"В тексте: Чёрт, забыл выключить плиту.",1
Разговор: Ты серьёзно так решил проблему?,2
Диалог: Да ебись ты конём.,4
"Разговор: Отвали нахуй, заебал.",4
"Сцена: Ты реально не понимаешь, что мешаешь?",3
Диалог: Ты серьёзно такой слепой?,3
Описание: Официант принимает заказ вежливым тоном.,0
"В тексте: Чёрт возьми, интернет опять сломался.",1
Диалог: Ты достал со своими жалобами.,3
"Разговор: Блядь, заткнись уже.",4
"Описание: Да пиздуй уже, заебал всех.",4
"В тексте: Блин, почему всё так сложно?",1
"Сцена: Заткнись нахуй, пока прошу нормально.",4
Диалог: Покупатель благодарит кассира за обслуживание.,0
"Разговор: Ты несёшь полнейший бред, остановись.",3
Описание: Сотрудники проводят планерку в спокойном режиме.,0
Описание: Группа студентов мирно работает над общим проектом.,0
"Описание: Закрой рот, пока беды не нажил.",3
Разговор: Ты вообще соображаешь?,3
"Описание: Блядь, заткнись уже.",4
Диалог: Какого чёрта ты выключил свет посреди работы?,2
Описание: Ты издеваешься надо мной?,2
Описание: Ты реально считаешь это хорошей идеей?,2
"Диалог: Чё ты доёбываешься, ебанат?",4
В тексте: Дети играют в настольную игру и смеются.,0
"Описание: Чёрт, опять интернет пропал.",1
Разговор: Двое людей ведут вежливый разговор о погоде.,0
"Описание: Ты хочешь, чтобы я взорвался?",2
Сцена: Ты вообще соображаешь?,3
Сцена: Ты в своём уме?,2
В тексте: Ты издеваешься надо мной?,2
Диалог: Ты в своём уме?,2
"Сцена: Блин, не успел на звонок.",1
Сцена: Ты специально такой?,2
"Описание: Отвали от меня, надоел.",3
"В тексте: Блин, надо было раньше вставать.",1
Сцена: Ты окончательно достал всех.,3
"Диалог: Ох, ё-моё, опять ремонт дороги.",1
"Сцена: Ты реально не понимаешь, что мешаешь?",3
"Сцена: Ты хочешь, чтобы я взорвался?",2
Описание: Покупатель благодарит кассира за обслуживание.,0
Сцена: Учёные обсуждают результаты эксперимента.,0
В тексте: Ты просто ебаный идиот.,4
Разговор: Двое друзей выбирают фильм на вечер.,0
"Сцена: Хватит уже, клоун.",3
Сцена: Ты в своём уме?,2
Описание: Ты издеваешься что ли?,3
"Сцена: Пара выбирает мебель в магазине, улыбаясь друг другу.",0
"Сцена: Проклятье, эти документы снова потерялись.",1
Сцена: Ты мне мозги выносить пришёл?,2
"В тексте: Блин, опять опоздал на встречу.",1
Диалог: Девочка желает всем удачного дня в школе.,0
Сцена: Путешественники задают вопросы гиду о достопримечательностях.,0
"Описание: Чёрт возьми, интернет опять сломался.",1
Сцена: Ты долбоёб или прикидываешься?,4
"Сцена: Блин, надо было раньше вставать.",1
"Сцена: Отвали нахуй, заебал.",4
"Разговор: Ох, ё-моё, опять ремонт дороги.",1
"В тексте: Блядь, заткнись уже.",4
"Разговор: Чёрт возьми, интернет опять сломался.",1
Сцена: Дети играют в настольную игру и смеются.,0
Диалог: Ты достал со своими жалобами.,3
Описание: Ты просто ебаный идиот.,4
"В тексте: Блин, почему очередь такая длинная?",1
Диалог: Пассажиры спокойно ожидают прибытия поезда.,0
Описание: Ты раздражаешь всех вокруг.,3
"Диалог: Блин, надо было раньше вставать.",1
Диалог: Ты реально считаешь это хорошей идеей?,2
"В тексте: Ой, чёрт, потерял документы.",1
"В тексте: Ох, ну и денёк.",1
"Сцена: Ты реально не понимаешь, что мешаешь?",3
"Диалог: Ой, ё-моё, кто-то уже занял место.",1
Сцена: Официант принимает заказ вежливым тоном.,0
"В тексте: Чёрт, дождь пошёл в самый неподходящий момент.",1
В тексте: Какого чёрта ты выключил свет посреди работы?,2
"Разговор: Блин, не успел на звонок.",1
В тексте: Ты сука тупее некуда.,4
Сцена: Ты специально такой?,2
"Разговор: Ты вообще понимаешь, что говоришь?",2
Описание: Ты издеваешься что ли?,3
Описание: Да ебись ты конём.,4
Сцена: Сколько можно нести чушь?,3
Разговор: Сотрудники поздравляют коллегу с днем рождения.,0
"Сцена: Чёрт, дождь пошёл в самый неподходящий момент.",1
"Разговор: Проклятье, эти документы снова потерялись.",1
Описание: Покупатель благодарит кассира за обслуживание.,0
В тексте: Ты издеваешься что ли?,3
Диалог: Девочка желает всем удачного дня в школе.,0
Диалог: Гости вежливо общаются на семейном празднике.,0
"Сцена: Закрой рот, пока беды не нажил.",3
"Сцена: Ты что, не видишь?",2
Сцена: Официант принимает заказ вежливым тоном.,0
"Описание: Чёрт, я пролил кофе на рубашку.",1
"Диалог: Эх, промахнулся",1
В тексте: Сотрудники проводят планерку в спокойном режиме.,0
Описание: Ты издеваешься надо мной?,2
"Разговор: Ох, ну и денёк.",1
"Описание: Отвали от меня, надоел.",3
Сцена: Ты вообще соображаешь?,3
Описание: Ты реально дурак?,2
Диалог: Ты ведёшь себя как маленький.,3
"Сцена: Ебать тебя в рот, прекрати уже.",4
Сцена: Ты сука тупее некуда.,4
Описание: Какого чёрта ты выключил свет посреди работы?,2
Сцена: Ты вообще нормальный?,2
"Описание: Пара выбирает мебель в магазине, улыбаясь друг другу.",0
Описание: Ты вообще нормальный?,2
Описание: Ты вообще нормальный?,2
Разговор: Ты мне мозги выносить пришёл?,2
Описание: Ты вообще слушаешь?,2
Диалог: Родители помогают ребенку собрать портфель в школу.,0
В тексте: Ты достал со своими жалобами.,3
"Разговор: Блин, не успел на звонок.",1
Диалог: Гости вежливо общаются на семейном празднике.,0
"Сцена: Ты никогда не слушаешь, иди уже.",3
Описание: Ты в своём уме?,2
Сцена: Ты мне мозги выносить пришёл?,2
Описание: Ты опять несёшь какой-то бред.,3
"Сцена: Ты вообще понимаешь, что творишь, придурок?",3
"Сцена: Блин, ключи потерял.",1
"Диалог: Чёрт, дождь пошёл в самый неподходящий момент.",1
Сцена: Ты реально дурак?,2
Описание: Учёные обсуждают результаты эксперимента.,0
Диалог: Ты специально такой?,2
"Диалог: Пошёл нахуй, мне надоело твоё нытьё.",4
Описание: Ты серьёзно так решил проблему?,2
Описание: Ты вообще слушаешь?,2
В тексте: Какого чёрта ты выключил свет посреди работы?,2
Сцена: Коллеги обсуждают план на предстоящую неделю в спокойной обстановке.,0
Описание: Пассажиры спокойно ожидают прибытия поезда.,0
Разговор: Ты специально такой?,2
Диалог: Друзья договариваются о совместной поездке на природу.,0
Диалог: Ты реально ебанутый?,4
Разговор: Ты ведёшь себя как шут.,3
"Диалог: Хватит нести ерунду, честное слово.",3
"В тексте: Ты реально не понимаешь, что мешаешь?",3
В тексте: Ты реально дурак?,2
В тексте: Путешественники задают вопросы гиду о достопримечательностях.,0
В тексте: Ты тупишь сегодня как никогда.,3
Описание: Сотрудники проводят планерку в спокойном режиме.,0
Разговор: Двое друзей выбирают фильм на вечер.,0
Описание: Ты раздражаешь всех вокруг.,3
Сцена: Официант принимает заказ вежливым тоном.,0
Описание: Ты вообще соображаешь?,3
"Сцена: Ты такой тупой, что даже объяснять лень.",3
В тексте: Работники офиса обсуждают задачи без конфликта.,0
В тексте: Ты раздражаешь всех вокруг.,3
В тексте: Ты окончательно достал всех.,3
"Диалог: Чёрт, я забыл дома телефон.",1
"Сцена: Блядь, да ты полный мудак.",4
"В тексте: Ох, ё-моё, опять ремонт дороги.",1
"Разговор: Хватит нести ерунду, честное слово.",3
Описание: Ты мне мозги выносить пришёл?,2
В тексте: Ты опять несёшь какой-то бред.,3
Разговор: Ты долбоёб или прикидываешься?,4
В тексте: Ты мне мозги выносить пришёл?,2
Описание: Хватит позориться.,3
В тексте: Писатель дает интервью о своей новой книге.,0
Диалог: Ты тупишь сегодня конкретно.,2
Диалог: Покупатель благодарит кассира за обслуживание.,0
Описание: Ты ведёшь себя как маленький.,3
"Сцена: Блин, надо было раньше вставать.",1
В тексте: Студенты спокойно ждут начала лекции.,0
В тексте: Родители помогают ребенку собрать портфель в школу.,0
Описание: Сотрудники обмениваются идеями по улучшению проекта.,0
Сцена: Ты мне мозги выносить пришёл?,2
"В тексте: Чёрт, дождь пошёл в самый неподходящий момент.",1
Описание: Сотрудники проводят планерку в спокойном режиме.,0
В тексте: Ты сука вообще мозгами думаешь?,4
Описание: Друзья договариваются о совместной поездке на природу.,0
"Описание: Да пиздуй уже, заебал всех.",4
Разговор: Учёные обсуждают результаты эксперимента.,0
Сцена: Иди нахуй со своей хернёй.,4
"В тексте: Блин, почему всё так сложно?",1
Разговор: Ты ведёшь себя как маленький.,3
Разговор: Ты сука тупее некуда.,4
Сцена: Путешественники задают вопросы гиду о достопримечательностях.,0
"В тексте: Блин, надо было раньше вставать.",1
Диалог: Ты реально дурак?,2
"Диалог: Блин, не успел на урок.",1
"Разговор: Ох, ну и денёк.",1
Сцена: Официант принимает заказ вежливым тоном.,0
Сцена: Пассажиры спокойно ожидают прибытия поезда.,0
"Описание: Да иди ты нахуй, уебан.",4
Описание: Какого чёрта ты выключил свет посреди работы?,2
"Диалог: Ты вообще понимаешь, что говоришь?",2
"В тексте: Ты чё, охуел? Совсем?",4
В тексте: Покупатель благодарит кассира за обслуживание.,0
