text,label
Сцена: Герой касается спины девушки под одеждой.,3
Воспоминания: Подростки изучают карту перед походом.,0
Сцена: Два человека вместе смотрят на закат.,1
"Описание: Девушка сидит на мужчине, целуя его и обнимая за шею.",3
Эпизод: Герои обнимаются после долгой разлуки.,2
Описание: Герой медленно поднимает рубашку девушки.,3
Сцена: Учитель объясняет новую тему классу.,0
Диалог: Соседи беседуют возле подъезда.,0
"Эпизод: Герои обнимаются, стоя у окна.",2
"Сцена: Пара страстно целуется на кровати, постепенно раздеваясь до белья.",3
"Эпизод: Девушка скользит по члену мужчины, описывается её дыхание.",4
Диалог: Пара обменивается длительными объятиями.,2
"Воспоминания: Девушка стонет от ощущений, описаны её движения.",4
Описание: Путешественники выбирают маршрут поездки.,0
"Эпизод: Герой целует девушку в шею, обнимая за талию.",3
Воспоминания: Пара занимается спортом в зале.,0
Диалог: Герой обнимает девушку за талию и целует.,2
Диалог: Два человека обмениваются робкими комплиментами.,1
"Описание: Девушка садится на мужчину, описаны движения и детали.",4
Диалог: Герой медленно поднимает рубашку девушки.,3
Диалог: Мужчина разговаривает с другом по телефону.,0
Описание: Пара вместе выбирает торт в кондитерской.,1
Воспоминания: Друзья ужинают в кафе и делятся новостями.,0
Эпизод: Влюблённые гуляют под дождём.,1
Диалог: Мужчина чинит велосипед во дворе.,0
Воспоминания: Ученики репетируют школьный спектакль.,0
Сцена: Пара продолжает интимные ласки на диване.,3
Диалог: Пара раздевается друг перед другом до нижнего белья.,3
Сцена: Герой касается спины девушки под одеждой.,3
Эпизод: Влюблённые прижимаются друг к другу в темноте.,2
Сцена: Сотрудники обсуждают отчёт в офисе.,0
Сцена: Герой касается губами руки девушки.,2
Эпизод: Герой проводит рукой по талии девушки под одеждой.,3
Диалог: Герои готовят подарок друг другу.,1
"Эпизод: Пара меняет позиции в процессе секса, описывая детали.",4
Эпизод: Герой прижимает девушку к стене и входит в неё.,4
Сцена: Пара занимается сексом в душевой кабине.,4
Воспоминания: Влюблённые прижимаются друг к другу в темноте.,2
Воспоминания: Герои касаются руками под столом.,2
Описание: Персонажи флиртуют лёгкими жестами.,1
Воспоминания: Компания друзей едет в машине на дачу.,0
Сцена: Влюблённые прижимаются друг к другу в темноте.,2
"Описание: Девушка снимает футболку героя, смеясь.",3
Воспоминания: Влюблённые раздеваются до белья перед сном.,3
"Эпизод: Пара занимается сексом на диване, описаны подробности.",4
Воспоминания: Пара сидит на балконе и беседует.,1
"Сцена: Пара занимается сексом на диване, описаны подробности.",4
Эпизод: Мужчина приглашает женщину на свидание.,1
Эпизод: Женщина выбирает подарки в магазине.,0
Воспоминания: Герой дарит девушке милый подарок.,1
"Диалог: Пара занимается сексом на диване, описаны подробности.",4
Описание: Девушка лежит сверху и двигается сама.,4
Сцена: Пара продолжает интимные ласки на диване.,3
Эпизод: Женщина выбирает подарки в магазине.,0
"Сцена: Пара обнимается, сидя на кровати в нижнем белье.",3
Описание: Два человека вместе смотрят на закат.,1
Сцена: Студенты готовятся к экзаменам в библиотеке.,0
Сцена: Влюблённые гуляют под дождём.,1
Эпизод: Герой проводит рукой по щеке девушки.,2
Эпизод: Девушка кладёт голову на плечо парня.,1
Воспоминания: Девушка слегка касается руки мужчины.,1
Диалог: Герой входит в девушку медленно и глубоко.,4
Сцена: Девушка кладёт руку на плечо мужчины.,1
Воспоминания: Персонажи флиртуют лёгкими жестами.,1
Описание: Студенты вместе слушают лекцию.,0
Эпизод: Девушка целует мужчину в щеку.,2
"Сцена: Пара смотрит фильм, обнявшись.",2
Сцена: Пара продолжает заниматься сексом в разных комнатах.,4
"Воспоминания: Герой целует девушку в шею, обнимая за талию.",3
Эпизод: Ребёнок рисует картину для конкурса.,0
"Описание: Пара занимается сексом в кровати, описаны звуки и движения.",4
"Сцена: Герой берет девушку сзади, описаны ритм и их дыхание.",4
Воспоминания: Подростки изучают карту перед походом.,0
"Сцена: Пара обнимается, сидя на кровати в нижнем белье.",3
Сцена: Герой поправляет девушке шарф.,1
Диалог: Родители помогают сыну с домашним заданием.,0
Диалог: Герои обнимаются после долгой разлуки.,2
Описание: Герой читает книгу дома в кресле.,0
Воспоминания: Влюблённые прижимаются друг к другу в темноте.,2
Воспоминания: Герои смеются над общими шутками.,1
"Описание: Пара занимается оральным сексом, с графическим описанием процесса.",4
Эпизод: Пара делится тёплой улыбкой.,1
Воспоминания: Герой помогает девушке снять пальто.,1
Воспоминания: Персонажи флиртуют лёгкими жестами.,1
Эпизод: Влюблённые гуляют под дождём.,1
Воспоминания: Пара практикует глубокий минет с описанием процесса.,4
Сцена: Геролини тихо шепчут друг другу.,1
Сцена: Женщина выбирает подарки в магазине.,0
Сцена: Девушка гладит мужчину по груди.,3
Диалог: Два человека обмениваются робкими комплиментами.,1
"Диалог: Пара страстно целуется на кровати, постепенно раздеваясь до белья.",3
Сцена: Герой слегка целует девушку в шею.,2
Сцена: Герои медленно притягивают друг друга.,2
Воспоминания: Герой входит в девушку медленно и глубоко.,4
Диалог: Герой проводит рукой по талии девушки под одеждой.,3
"Эпизод: Пара лежит рядом, касаясь ногами.",3
Эпизод: Люди гуляют по торговому центру.,0
Эпизод: Подростки изучают карту перед походом.,0
Эпизод: Пара сидит на балконе и беседует.,1
Диалог: Учитель объясняет новую тему классу.,0
Воспоминания: Подростки идут на тренировку по футболу.,0
"Эпизод: Пара занимается сексом стоя, описаны движения тел.",4
Воспоминания: Пара сидит на диване и нежно прижимается друг к другу.,2
Воспоминания: Два человека вместе смотрят на закат.,1
Сцена: Друзья ужинают в кафе и делятся новостями.,0
Воспоминания: Пара целуется на балконе.,2
Воспоминания: Пара лежит рядом под одним одеялом.,2
Сцена: Пара целуется в подъезде.,2
"Воспоминания: Девушка сидит на мужчине, целуя его и обнимая за шею.",3
Диалог: Герой обнимает девушку за талию и целует.,2
"Эпизод: Влюблённые лежат, обнявшись полуобнажёнными.",3
Воспоминания: Герои страстно обнимаются на кровати.,3
"Эпизод: Пара прижимается телами, обнимаясь на кровати.",3
Диалог: Пара целуется в дверях квартиры.,2
Воспоминания: Пара целуется в подъезде.,2
Описание: Путешественники обсуждают увиденные места.,0
Воспоминания: Герой расстёгивает платье девушки.,3
Воспоминания: Герой кладёт девушку на живот и входит в неё.,4
"Эпизод: Пара обнимается, сидя полуголыми.",3
"Воспоминания: Герой входит в девушку, их тела двигаются в едином ритме.",4
"Диалог: Герой входит в девушку, их тела двигаются в едином ритме.",4
Описание: Герой проводит рукой по волосам девушки.,2
Воспоминания: Девушка кладёт руку на плечо мужчины.,1
Воспоминания: Ребёнок рисует картину для конкурса.,0
Описание: Подростки изучают карту перед походом.,0
"Описание: Влюблённые лежат, обнявшись полуобнажёнными.",3
Описание: Девочка кормит птиц на улице.,0
Диалог: Девушка слегка касается руки мужчины.,1
Эпизод: Влюблённые сидят у камина.,1
"Описание: Герои ложатся рядом, прижимаясь полуобнажёнными телами.",3
"Эпизод: Девушка целует мужчину, сидя у него на коленях.",3
