text,label
Описание: Девушка вышивает узор на ткани.,0
Диалог: Подростки обсуждают планы на выходные.,0
Воспоминание: Девушка вышивает узор на ткани.,0
"Описание: Персонаж сталкивается с человеком, который явно хочет причинить вред.",3
Воспоминание: Мужчина обнаруживает труп с вырезанными органами.,4
Воспоминание: Героя пугает странная фигура вдалеке.,1
Эпизод: Подросток слышит странное шипение из вентиляции.,2
"Эпизод: Герой сталкивается с человеком, который убивает жертву молотком.",4
Сцена: Персонаж слышит нехарактерный скрежет за стеной.,2
"Сцена: Герой идёт по коридору, где лампы мигают.",2
Эпизод: Студенты обсуждают будущие проекты.,0
"Описание: Мужчина чувствует, что за ним наблюдают.",1
Воспоминание: Юноша кормит с рук прирученную белку.,0
"Диалог: Персонаж видит тело, из которого кто-то вырвал внутренности.",4
Сцена: Мужчина замечает движение в тёмном углу.,1
Сцена: Мужчина сталкивается с вооружённым преступником.,3
Эпизод: Персонаж боится заглянуть в подвал.,1
"Воспоминание: Персонаж сталкивается с человеком, который явно хочет причинить вред.",3
Воспоминание: Женщина находит тело с вывернутыми конечностями и следами пыток.,4
"Воспоминание: Персонаж сталкивается с трупом, покрытым следами пыток.",4
Воспоминание: Дети собирают конструктор на ковре.,0
Описание: Персонаж боится заглянуть в подвал.,1
Воспоминание: Женщина слышит шорохи в пустой комнате.,1
"Сцена: Мужчина чувствует, что за ним наблюдают.",1
"Диалог: Герой идёт по коридору, где лампы мигают.",2
Эпизод: Собаки играют на зелёной лужайке.,0
Эпизод: Мужчина слышит низкий рык в темноте.,2
"Сцена: Герой прячется в шкафу, слыша тяжёлые шаги в комнате.",3
"Сцена: Персонаж прячется, слыша шаги убийцы неподалёку.",3
"Сцена: Персонаж сталкивается с трупом, покрытым следами пыток.",4
"Диалог: Герой прячется в шкафу, слыша тяжёлые шаги в комнате.",3
Эпизод: Персонаж идёт по пустынной улице ночью и ощущает угрозу.,2
Воспоминание: Дети слушают сказку на ночь.,0
Воспоминание: Ученики участвуют в школьном концерте.,0
"Диалог: Студенты смеются, обсуждая лекции.",0
"Воспоминание: Персонаж ощущает шаги рядом, хотя никого не видно.",2
"Эпизод: Персонаж становится свидетелем того, как человека медленно режут ножом.",4
Воспоминание: Герой обнаруживает тело со вспоротым животом.,4
Описание: Герой становится свидетелем жестокой пытки ножами.,4
Воспоминание: Подростка хватают за одежду и тянут в тёмный переулок.,3
"Эпизод: Женщина видит, как группа людей избивает прохожего.",3
Воспоминание: Мужчина выгуливает собаку по аллее.,0
Диалог: Работники обедают в столовой.,0
Воспоминание: Женщина делает утреннюю зарядку.,0
Воспоминание: Дети слушают сказку на ночь.,0
Диалог: Женщина боится выйти ночью на балкон.,1
Сцена: Герой идёт по ночной трассе и видит человека на обочине.,2
Воспоминание: Мужчина сталкивается с вооружённым преступником.,3
